Geneid	S4_GelataTuber_up	S5_GelataTuber_up	S6_GelataTuber_up	S7_GelataTuber_basal	S8_GelataTuber_basal	S9_GelataTuber_basal
GelC19G00001	0	0	0	0	0	0
GelC19G00002	0	0	0	0	0	0
GelC19G00006	5	0	1	0	0	2
GelC19G00008	0	0	0	0	0	0
GelC19G00009	0	1	1	0	2	0
GelC19G00010	0	0	0	0	0	0
GelC19G00011	0	0	0	0	0	0
GelC19G00012	0	0	0	0	0	0
GelC19G00014	0	0	0	0	0	0
GelC19G00015	0	0	0	0	0	0
GelC19G00016	0	0	0	0	0	0
GelC19G00018	0	0	0	0	0	0
GelC19G00019	0	0	0	0	0	0
GelC19G00021	0	0	0	0	0	0
GelC19G00022	1	1	1	3	4	6
GelC19G00023	0	0	0	0	0	0
GelC19G00024	0	0	0	0	0	0
GelC19G00025	0	0	0	0	0	0
GelC19G00026	3	3	0	0	0	4
GelC19G00027	0	0	0	0	0	0
GelC19G00028	2	4	3	1	0	1
GelC19G00029	0	0	0	0	0	0
GelC19G00030	0	0	0	0	0	0
GelC19G00049	542	550	489	556	544	554
GelC19G00050	0	0	0	1	0	1
GelC19G00051	27	25	19	21	23	34
GelC19G00052	50	49	38	45	64	63
GelC19G00055	0	0	0	0	0	0
GelC19G00056	561	583	562	686	747	727
GelC19G00057	0	0	0	0	0	0
GelC19G00058	2	3	1	0	0	0
GelC19G00059	8	8	8	0	1	1
GelC19G00060	245	252	356	331	292	256
GelC19G00061	147	165	266	322	278	228
GelC19G00062	10	7	8	1	1	1
GelC19G00065	215	225	254	255	239	256
GelC19G00066	6	13	8	12	12	13
GelC19G00068	0	0	0	0	0	0
GelC19G00069	0	1	3	0	1	1
GelC19G00070	24	19	10	25	23	31
GelC19G00071	3	8	7	10	10	7
GelC19G00072	0	0	0	0	0	0
GelC19G00073	0	0	0	0	0	0
GelC19G00074	0	0	0	0	0	0
GelC19G00075	0	2	0	0	0	0
GelC19G00076	0	0	0	0	0	0
GelC19G00077	0	1	0	0	0	0
GelC19G00078	0	0	0	0	0	0
GelC19G00079	1	2	0	0	0	0
GelC19G00080	38	54	65	37	32	37
GelC19G00081	0	0	0	0	1	0
GelC19G00082	0	0	0	0	0	0
GelC19G00085	0	0	0	0	0	0
GelC19G00086	0	0	2	1	1	0
GelC19G00087	1	0	1	0	0	0
