S4_GelataTuber_up	S5_GelataTuber_up	S6_GelataTuber_up	S7_GelataTuber_basal	S8_GelataTuber_basal	S9_GelataTuber_basal
GelC19G00049	6.82527776103876	6.79611892780795	6.40784027057082	6.65972390160162	6.77909232260745	6.76451497455477
GelC19G00051	2.54409773394761	2.38835682680265	1.80098356153028	2.00159519913029	2.27149662747124	2.77687455475981
GelC19G00052	3.41094133311724	3.33292905843444	2.76047433777115	3.06356867857437	3.71051619120429	3.6478718150213
GelC19G00056	6.87490253437593	6.88004139068378	6.60814999475098	6.96232571326506	7.23590491288601	7.15597492023286
GelC19G00060	5.68273956004196	5.67307031971403	5.95110742658072	5.91334069091223	5.88363993634596	5.65375034543141
GelC19G00061	4.94938258812651	5.06498662745538	5.53217810289802	5.87369926193816	5.81299388610287	5.48731928734817
GelC19G00065	5.49505051092076	5.51022617747389	5.46586454117447	5.53838273978177	5.59572743391754	5.65375034543141
GelC19G00066	0.532246441084945	1.49320586784198	0.658925638505795	1.24546031417082	1.3848055451204	1.45401825701103
GelC19G00070	2.38012681445968	2.00912238308737	0.945152175815922	2.24196763721066	2.27149662747124	2.64753354262847
GelC19G00080	3.02325426433723	3.47054635696523	3.51774752748488	2.78835072288322	2.73162642569894	2.89556788750192
GelC19G00100	4.32448938464008	4.28959201519152	4.10188176996361	3.53945013434782	3.0451474577984	3.57859251809133
GelC19G00101	5.03459254450726	5.01186116276019	4.93940031521344	3.98201747395323	3.8780764291481	3.9698675548704
GelC19G00120	1.43263585442732	0.68248710714387	1.48109529093491	1.13056438839304	1.8556053384803	0.452469923922387
GelC19G00136	6.53808633643227	6.22543073554543	7.71179425925768	5.27991957988129	4.46989438511254	4.33450040522717
GelC19G00149	1.73378910317516	2.5951288416001	2.83241928989015	2.54087209975248	2.44170611323796	2.17083070843226
GelC19G00153	7.15836359954531	7.17807684794887	7.07840805625948	6.7353987157312	6.67196480127766	6.91261741796102
GelC19G00163	-0.711458367901771	-0.000307387759503906	-0.174726859299332	1.24546031417082	1.3848055451204	1.10567284570069
GelC19G00165	1.82165771365081	1.0059859694954	1.72741265652122	2.18552397839001	2.5449565390609	0.967972295995802
GelC01G00001	5.09755368142804	5.12459066792903	4.93123165228939	3.56179606003483	3.81749885063055	4.51838974300886
GelC01G00002	3.35313777841131	3.89893209241918	3.88218897655408	3.89668981253608	4.04589615959075	4.13982261972209
GelC01G00004	4.52103235263109	4.06460982714825	4.58058125027555	5.89585661134324	6.32918364759811	5.1872524606543
GelC01G00005	7.65344707645306	7.66610977497242	7.5571545089591	8.11740227134746	8.13095507035303	8.19219396265211
GelC01G00008	-2.37359577926673	-2.37359577926673	-2.37359577926673	1.79074319219323	2.07848570152083	1.64685675980301
GelC01G00009	6.02572176918576	6.06082239713493	6.30727688308752	4.23934256931141	4.30317619922709	4.98792641332592
GelC01G00010	-2.37359577926673	-1.34128196846109	-2.37359577926673	6.1566441593805	6.52500858136485	6.12388264616948
GelC01G00013	4.24725859542745	4.11586144209065	4.60132282323266	3.7487112349495	3.64229899110279	4.21783778981358
GelC01G00014	6.86717963777145	6.80655519837137	7.178422772594	7.12122835591783	7.29819265667504	7.34688863154601
GelC01G00015	1.31645008674829	1.27006660432624	1.38866518756505	1.8645047051651	2.38717080155202	1.45401825701103
GelC01G00017	2.82489976546246	3.57190682314375	3.20188303219147	3.8790015220237	3.81749885063055	3.857370887053
GelC01G00018	4.11438692334946	3.89893209241918	4.46084446930567	2.82576403073485	2.77474989248772	3.2327215670908
GelC01G00019	5.40546634311144	5.35535178058014	5.72879165049606	5.13840932825893	5.19655000444864	5.51230326642754
GelC01G00020	4.95910272734944	4.81916024329427	4.71987478062905	5.09310032629669	4.97410139142501	5.06593595709226
GelC01G00021	10.0863330482755	10.2449023566583	9.49639225512383	10.0366424438945	9.76889638267059	9.60058179910546
GelC01G00023	1.43263585442732	1.93495689712543	1.06945110274833	1.54371183285533	1.14293639003005	1.96905560592003
GelC01G00030	7.28934693299403	7.29942257715659	6.0487258931709	5.93061541487099	6.03319960770491	6.12388264616948
GelC01G00032	-2.37359577926673	-2.37359577926673	-2.37359577926673	4.49295789348072	4.50872844555565	4.33450040522717
GelC01G00034	5.19947898919367	5.17379033492538	4.93940031521344	4.69853530839306	4.46989438511254	4.82796983647016
GelC01G00038	5.49505051092076	5.57880330695693	5.82009904739454	6.30642011356214	6.51868037129004	6.17171315367813
GelC01G00039	4.44005469761511	4.48417637190417	4.52738393122621	4.52742891629791	4.71098831355211	4.68146779545128
GelC01G00040	6.72059372462887	6.80655519837137	6.29140946475083	6.20713566540925	6.28512369959795	6.39635252701141
GelC01G00042	4.46755537945378	4.43120642628755	4.95560018189378	4.67822436036657	4.93661633466736	5.1238218506936
GelC01G00043	6.7738850377179	6.74819830953571	6.73322950303055	7.5451426021406	7.47529262011287	7.56257271334031
GelC01G00045	3.38232903373571	3.49656188147918	3.53940552256148	3.18370461573086	2.59393675375936	3.2327215670908
GelC01G00046	0.307207125615469	0.68248710714387	0.301494950282116	1.24546031417082	0.852185117899341	1.64685675980301
GelC01G00048	5.57939567970927	5.47139938194079	5.5642257992176	6.02612065084364	6.16465356945513	6.28115069082606
GelC01G00051	5.07984340577504	3.38956072338005	7.88672919634848	3.1248867792802	1.68525325262925	4.05734631212139
GelC01G00052	4.42610524337427	4.58461615088538	4.48336700683855	4.98149396293206	5.32540878571453	5.3963021945603
GelC01G00053	4.99734133542237	5.2368839643234	5.5642257992176	5.37131646396668	4.67729403658095	4.86723327414359
GelC01G00054	7.6742500266616	7.59263367733099	7.68167713406838	8.32679661872707	8.39295926334324	7.9913790630982
GelC01G00061	5.2157878180373	5.15757615991197	5.21982371733098	5.08540852609353	5.43027276376015	5.25542933389804
GelC01G00062	6.14122607861407	6.2097897747209	6.06748126835427	6.14928464047715	6.17676161248006	6.09523122204441
GelC01G00063	4.77325584309836	5.01186116276019	4.64193224835234	4.97318172134125	4.44341184214625	4.51838974300886
GelC01G00064	6.63525865454567	6.71534344695603	6.22613482158098	6.60965852481815	6.66625066894457	6.38962642862881
GelC01G00065	5.48162524012544	5.44492190654012	5.34808283751132	6.24560392116604	5.82842626614829	5.86730590318952
GelC01G00066	4.670508276303	4.66710751112483	5.26602266082296	6.2212430857696	6.14424490380225	6.18731064111283
GelC01G00067	2.38012681445968	1.68641082380956	3.60249447171058	0.549374585081523	-2.37359577926673	-0.774059528000517
GelC01G00069	7.00258761692857	7.14350533619333	7.19557517186253	7.07536782692938	7.12363204334504	7.17174255922581
GelC01G00070	6.60771518231988	6.56670780791666	6.67815938529491	6.71560370566221	6.9105768292553	6.78002839098836
GelC01G00072	8.2294396006667	8.29112575148418	8.76784868549357	7.40540308329822	7.37901616941485	7.49993562745841
GelC01G00073	4.41201959356356	4.58461615088538	4.31778464437787	4.04682260297162	4.21198746825225	4.50600442375428
GelC01G00074	7.3273686275682	7.66897238914909	4.17288520274468	4.94795372330998	5.36121706438222	5.02311906115479
GelC01G00075	4.23130362641594	4.59669336323076	4.3302632895256	6.65453493508077	6.71688093952948	7.06813859171919
GelC01G00077	2.49148459374963	2.81781939789232	2.47599031229334	3.37251485135209	2.89688688624077	3.20233832201047
GelC01G00078	1.82165771365081	1.49320586784198	3.88218897655408	0.138099943204526	-0.746539930184883	1.34698400952687
GelC01G00079	7.8066584127916	7.89239464418082	7.74362974981326	7.37101671151648	7.52349632539189	7.39133614900812
GelC01G00080	2.82489976546246	2.77594661462333	2.28407562390375	1.79074319219323	1.8556053384803	2.10665757206591
GelC01G00081	6.26785096014591	6.31952261968152	6.42539458847601	6.45110517809223	6.35782671805138	6.51852848375123
GelC01G00083	6.88002825983677	6.85008592235246	6.83962210378419	6.90667110373698	6.95811971822485	6.95423750784901
GelC01G00084	5.59194508795695	5.65585806358859	5.47150858964493	6.0180623030583	5.57757685109277	5.42289824323126
GelC01G00085	8.12105035433815	8.22944068946921	7.09678392074103	7.85777020017585	7.83369651783854	7.5154655765257
