GelC01G00002	K12818
GelC01G00003	K01507
GelC01G00004	K08472
GelC01G00005	K14486
GelC01G00008	K03327
GelC01G00009	K19355
GelC01G00014	K00234
GelC01G00018	K15283
GelC01G00019	K18423
GelC01G00020	K00703
GelC01G00027	K06210
GelC01G00028	K06210
GelC01G00030	K14486
GelC01G00032	K15382
GelC01G00033	K15382
GelC01G00037	K18482
GelC01G00041	K01213
GelC01G00045	K15803
GelC01G00053	K07297
GelC01G00054	K00696
GelC01G00061	K23568
GelC01G00064	K20032
GelC01G00065	K06990
GelC01G00069	K01868
GelC01G00070	K23390
GelC01G00072	K02949
GelC01G00078	K24755
GelC01G00079	K03032
GelC01G00081	K15029
GelC01G00083	K01278
GelC01G00088	K03637
GelC01G00093	K08853
GelC01G00094	K20044
GelC01G00095	K13105
GelC01G00096	K14696
GelC01G00098	K03260
GelC01G00101	K18798
GelC01G00105	K19600
GelC01G00117	K10956
GelC01G00125	K03639
GelC01G00126	K00058
GelC01G00129	K08248
GelC01G00130	K00875
GelC01G00131	K12115
GelC01G00134	K15925
GelC01G00138	K13126
GelC01G00139	K14829
GelC01G00140	K15925
GelC01G00147	K16296
GelC01G00150	K16280
GelC01G00152	K03678
GelC01G00153	K13648
GelC01G00154	K08066
GelC01G00157	K05286
GelC01G00160	K07025
GelC01G00163	K20029
GelC01G00166	K16283
GelC01G00167	K13171
GelC01G00171	K22940
GelC01G00172	K00927
GelC01G00176	K01803
GelC01G00186	K09422
GelC01G00192	K16616
GelC01G00193	K06689
GelC01G00194	K06041
GelC01G00197	K14005
GelC01G00202	K00889
GelC01G00209	K14492
GelC01G00210	K03021
GelC01G00212	K05863
GelC01G00217	K14674
GelC01G00218	K13128
GelC01G00220	K03404
GelC01G00223	K01930
GelC01G00225	K06963
GelC01G00227	K11841
GelC01G00229	K09527
GelC01G00230	K03250
GelC01G00232	K01070
GelC01G00243	K03232
GelC01G00246	K19355
GelC01G00247	K03238
GelC01G00253	K00344
GelC01G00255	K05662
GelC01G00256	K00558
GelC01G00261	K03848
GelC01G00264	K02976
GelC01G00265	K14641
GelC01G00274	K22766
GelC01G00276	K01490
GelC01G00277	K00232
GelC01G00281	K15032
GelC01G00286	K11518
GelC01G00292	K09422
GelC01G00296	K13157
GelC01G00301	K09523
GelC01G00302	K13458
GelC01G00304	K18460
GelC01G00305	K15032
GelC01G00306	K18723
GelC01G00310	K09522
GelC01G00312	K14431
GelC01G00315	K03950
GelC01G00316	K09419
GelC01G00317	K18417
GelC01G00319	K18417
GelC01G00320	K18417
GelC01G00325	K10398
GelC01G00326	K02337
GelC01G00328	K11671
GelC01G00334	K15164
GelC01G00336	K01859
GelC01G00338	K13195
GelC01G00341	K05658
GelC01G00348	K05765
GelC01G00350	K05765
GelC01G00351	K11789
GelC01G00356	K02925
